id,price,renting_or_selling,city_district,link,to_negotiate,flat_title
0,2 800 zł,Mieszkania » Wynajem,Wrocław: Śródmieście,https://www.olx.pl/oferta/mieszkanie-od-zaraz-ul-nowowiejska-68-CID3-IDChomz.html#e2a7a95653,Do negocjacji,Mieszkanie od zaraz  ul. Nowowiejska 68
1,1 500 zł,Mieszkania » Wynajem,Wrocław: Stare Miasto,https://www.olx.pl/oferta/mieszkanie-2-pokojowe-szczepin-CID3-IDDSH7F.html#e2a7a95653,None,Mieszkanie 2 pokojowe Szczepin
2,2 800 zł,Mieszkania » Wynajem,Wrocław: Stare Miasto,https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDDP2dE.html#e2a7a95653,None,wynajmę mieszkanie
3,2 450 zł,Mieszkania » Wynajem,Wrocław: Psie Pole,https://www.olx.pl/oferta/apartament-3-pokojowy-z-tarasem-psie-pole-CID3-IDDLKQX.html#e2a7a95653,None,Apartament 3 pokojowy z tarasem Psie Pole
4,2 200 zł,Mieszkania » Wynajem,Wrocław: Psie Pole,https://www.olx.pl/oferta/wroclaw-wojaczka-do-wynajecia-3-pokojowe-55m2-CID3-IDDBSvq.html#e2a7a95653,None,Wrocław / Wojaczka / Do wynajęcia 3-pokojowe (55m2)
5,1 800 zł,Mieszkania » Wynajem,Wrocław: Śródmieście,https://www.olx.pl/oferta/mieszkanie-na-wynajem-zacisze-CID3-IDBDBlr.html#e2a7a95653,None,Mieszkanie na wynajem  Zacisze
6,3 000 zł,Mieszkania » Wynajem,Wrocław: Stare Miasto,https://www.otodom.pl/oferta/50m2-3-pokoje-pl-dominikanski-wysoki-standard-ID44DL8.html?,None,50m2  3-pokoje  pl.Dominikański  wysoki standard
7,2 200 zł,Mieszkania » Wynajem,Wrocław: Śródmieście,https://www.olx.pl/oferta/wynajme-mieszkanie-rejon-pl-grunwaldzkiego-2x-syp-jadalnia-kuchnia-CID3-IDDUhW6.html#e2a7a95653,Do negocjacji,Wynajmę mieszkanie rejon pl Grunwaldzkiego 2x syp + jadalnia kuchnia
8,1 700 zł,Mieszkania » Wynajem,Wrocław: Krzyki,https://www.otodom.pl/oferta/wagnera-fitness-komorka-w-cenie-mozliwosc-garazu-ID44VpS.html?,None,Wagnera  fitness+komórka w cenie możliwość garażu
9,1 500 zł,Mieszkania » Wynajem,Wrocław: Stare Miasto,https://www.olx.pl/oferta/tanie-mieszkanie-w-samym-centrum-10min-do-rynku-CID3-IDDUhGp.html#e2a7a95653,Do negocjacji,Tanie mieszkanie w samym CENTRUM||10min do Rynku
10,240 000 zł,Mieszkania » Sprzedaż,Wrocław: Fabryczna,https://www.otodom.pl/oferta/kawalerka-stablowice-zarezerwowana-do-04-03-ID44IeC.html?,None,Kawalerka Stabłowice - ZAREZERWOWANA DO 04.03
11,1 400 zł,Mieszkania » Wynajem,Wrocław: Psie Pole,https://www.olx.pl/oferta/piekna-kawalerka-blisko-centrum-CID3-IDD3jUT.html#e2a7a95653,None,Piękna KAWALERKA blisko centrum
12,535 000 zł,Mieszkania » Sprzedaż,Wrocław: Krzyki,https://www.olx.pl/oferta/okazja-3-pokoje-krzyki-centrum-wlasciciel-7997zl-m2-rozklad-garaz-CID3-IDDJLwA.html#e2a7a95653,None,Okazja 3 pokoje  Krzyki centrum  właściciel  7997zł/m2  rozkład  garaż
13,2 350 zł,Mieszkania » Wynajem,Wrocław: Stare Miasto,https://www.olx.pl/oferta/klimatyczne-mieszkanie-w-kamienicy-w-centrum-tuz-przy-renomie-CID3-IDDUgFI.html#e2a7a95653,None,Klimatyczne mieszkanie w kamienicy w centrum tuż przy Renomie
14,2 350 zł,Mieszkania » Wynajem,Wrocław: Stare Miasto,https://www.olx.pl/oferta/klimatyczne-mieszkanie-w-kamienicy-w-centrum-miasta-tuz-przy-renomie-CID3-IDDUfVS.html#e2a7a95653,None,Klimatyczne mieszkanie w kamienicy w centrum miasta - tuż przy Renomie
15,690 000 zł,Mieszkania » Sprzedaż,Wrocław: Stare Miasto,https://www.olx.pl/oferta/mieszkanie-inwestycyjne-4-kawalerki900-m-od-rynkuroi12-0-CID3-IDDLway.html#e2a7a95653,None,Mieszkanie inwestycyjne 4 kawalerki–900 m od Rynku–ROI=12 0%
16,3 000 zł,Mieszkania » Wynajem,Wrocław: Śródmieście,https://www.otodom.pl/oferta/nowe-niemcewicza-osobne-3pokoje-balkon-winda-ID44Vos.html?,None,NOWE Niemcewicza osobne 3pokoje balkon winda
17,1 100 zł,Mieszkania » Wynajem,Wrocław: Śródmieście,https://www.otodom.pl/oferta/kawalerka-biskupin-7-min-od-pl-grunwaldzkiego-ID2AVqM.html?,None,KAWALERKA  BISKUPIN  7 min. od pl. Grunwaldzkiego
18,1 300 zł,Mieszkania » Wynajem,Wrocław: Krzyki,https://www.olx.pl/oferta/bardzo-ladna-kawalerka-przy-ulicy-jaworowej-w-dzielnicy-krzyki-CID3-IDDIv38.html#e2a7a95653,None,Bardzo ładna  kawalerka przy ulicy Jaworowej w dzielnicy Krzyki.
19,2 100 zł,Mieszkania » Wynajem,Wrocław: Stare Miasto,https://www.olx.pl/oferta/atrakcyjne-2-pokojowe-mieszkanie-w-centrum-nowe-CID3-IDCCmv9.html#e2a7a95653,None,Atrakcyjne 2-pokojowe mieszkanie w CENTRUM – nowe
20,2 600 zł,Mieszkania » Wynajem,Wrocław: Śródmieście,https://www.olx.pl/oferta/2-pokoje-klimatyzacja-wysoki-standard-centrum-CID3-IDDIcYw.html#e2a7a95653,None,2 pokoje klimatyzacja wysoki standard Centrum
21,2 100 zł,Mieszkania » Wynajem,Wrocław: Psie Pole,https://www.olx.pl/oferta/nowe-2-pokoje-olimpia-port-cooka-biskupin-CID3-IDDIbbp.html#e2a7a95653,None,Nowe 2 pokoje Olimpia Port Cooka Biskupin
22,1 550 zł,Mieszkania » Wynajem,Wrocław: Śródmieście,https://www.olx.pl/oferta/2-pokrozklad-po-remoncie-srodmiescie-biskupin-CID3-IDDUeTP.html#e2a7a95653,None,*2 Pok*Rozkład* po remoncie *Śródmieście / Biskupin*
23,2 250 zł,Mieszkania » Wynajem,Wrocław: Krzyki,https://www.olx.pl/oferta/oltaszyn-wysoki-standard-mozliwosc-najmu-na-krotki-okres-CID3-IDmyMQ6.html#e2a7a95653,None,Ołtaszyn/wysoki standard. Możliwość najmu na krótki okres.
24,525 000 zł,Mieszkania » Sprzedaż,Wrocław: Krzyki,https://www.otodom.pl/oferta/apartament-ul-przystankowa-butikowa-inwestycja-ID44VmL.html?,None,Apartament ul. Przystankowa - butikowa inwestycja
25,2 200 zł,Mieszkania » Wynajem,Wrocław: Śródmieście,https://www.olx.pl/oferta/nowe-58-m2-2-pokoje-biskupin-sepolno-CID3-IDDIcI0.html#e2a7a95653,None,Nowe 58 m2 2-pokoje Biskupin Sępolno
26,1 700 zł,Mieszkania » Wynajem,Wrocław: Fabryczna,https://www.olx.pl/oferta/od-zaraz-wynajme-mieszkanie-CID3-IDDUeCd.html#e2a7a95653,Do negocjacji,Od zaraz wynajmę mieszkanie
27,1 700 zł,Mieszkania » Wynajem,Wrocław: Krzyki,https://www.olx.pl/oferta/2-pokoje-42-m2-krzyki-smardzowska-klasztorna-CID3-IDDIa5Y.html#e2a7a95653,None,2-pokoje 42 m2 Krzyki Smardzowska / Klasztorna
28,1 250 zł,Mieszkania » Wynajem,None,https://www.otodom.pl/oferta/wynajme-mieszkanie-na-ul-podwale-we-wroclawiu-ID44Vm5.html?,None,Wynajmę mieszkanie na ul. Podwale we Wrocławiu.
29,1 200 zł,Mieszkania » Wynajem,Wrocław: Fabryczna,https://www.olx.pl/oferta/duza-kawalerka-35m2-na-gadowie-CID3-IDDUeyU.html#e2a7a95653,None,duża kawalerka 35m2 na Gądowie
30,1 700 zł,Mieszkania » Wynajem,Wrocław: Krzyki,https://www.olx.pl/oferta/studio-z-osobna-kuchnia-centrum-ul-swistackiego-CID3-IDDIak3.html#e2a7a95653,None,Studio z osobną kuchnią Centrum ul. Świstackiego
31,785 000 zł,Mieszkania » Sprzedaż,Wrocław: Śródmieście,https://www.otodom.pl/oferta/4-pokoje-kolo-placu-grunwaldzkiego-ID44RG5.html?,None,4 pokoje koło placu grunwaldzkiego.
32,3 000 zł,Mieszkania » Wynajem,Wrocław: Krzyki,https://www.otodom.pl/oferta/apartament-obok-sky-tower-ID44Uii.html?,None,Apartament obok Sky Tower
33,1 600 zł,Mieszkania » Wynajem,Wrocław: Krzyki,https://www.olx.pl/oferta/tani-lux-apartament-studio-z-balkonem-w-samym-centrum-CID3-IDDUeoI.html#e2a7a95653,Do negocjacji,Tani lux apartament studio z balkonem w samym Centrum!
34,2 350 zł,Mieszkania » Wynajem,Wrocław: Krzyki,https://www.otodom.pl/oferta/mieszkanie-flat-wroclaw-krzyki-pol-eng-ID3Wkvc.html?,None,Mieszkanie/ Flat Wroclaw Krzyki (POL/ENG)
35,380 000 zł,Mieszkania » Sprzedaż,Wrocław: Psie Pole,https://www.otodom.pl/oferta/okazja-3-pokoje15-min-do-grunwaldzkiego-ID44Sxu.html?,None,Okazja! 3 pokoje15 min. do Grunwaldzkiego!
36,445 000 zł,Mieszkania » Sprzedaż,Wrocław: Fabryczna,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-z-duzym-balkonem-i-garazem-n-ID44RXz.html?,None,4 pokojowe mieszkanie z dużym balkonem i garażem n
37,1 500 zł,Mieszkania » Wynajem,Wrocław: Fabryczna,https://www.olx.pl/oferta/wynajme-przestronna-kawalerke-olbrachtowska-stablowice-CID3-IDDF8vu.html#e2a7a95653,None,Wynajmę przestronną kawalerkę Olbrachtowska -Stabłowice
38,2 150 zł,Mieszkania » Wynajem,Wrocław: Stare Miasto,https://www.otodom.pl/oferta/kawalerka-w-centrum-wroclawia-stare-miasto-35m2-ID44T0P.html?,None,kawalerka w centrum wrocławia - stare miasto 35m2
39,1 900 zł,Mieszkania » Wynajem,Wrocław: Stare Miasto,https://www.olx.pl/oferta/mieszkanie-centrum-miasta-ul-ptasia-wysoki-standard-CID3-IDDUe1O.html#e2a7a95653,None,Mieszkanie  Centrum miasta ul.Ptasia  wysoki standard
40,1 900 zł,Mieszkania » Wynajem,Wrocław: Fabryczna,https://www.olx.pl/oferta/mieszkanie-3-pokojowe-do-wynajecia-CID3-IDDUe44.html#e2a7a95653,None,Mieszkanie 3-pokojowe do wynajęcia
41,585 000 zł,Mieszkania » Sprzedaż,None,https://www.otodom.pl/oferta/mieszkanie-z-25-metrowym-tarasem-ID44TsG.html?,None,mieszkanie z 25 metrowym tarasem
42,750 000 zł,Mieszkania » Sprzedaż,Wrocław: Śródmieście,https://www.otodom.pl/oferta/61m2-2-pokoje-taras-dabie-ID44Ufs.html?,None,61m2 /2 Pokoje/Taras/Dąbie
43,480 000 zł,Mieszkania » Sprzedaż,Wrocław: Fabryczna,https://www.otodom.pl/oferta/mieszkanie-na-poludniowy-zachodzie-wroclawia-ID44TsD.html?,None,mieszkanie na południowy zachodzie Wrocławia.
id,renting_or_selling,city_district,link,rooms,to_negotiate,area,flat_title,price,image,market
0,Mieszkanie na sprzeda,Wrocaw Psie Pole Widawa,https://www.otodom.pl/oferta/3-pokoje-widok-na-park-pokoj-letni-ogrodek-ID41LBr.html#86a2cc4390,3 pokoje,None,86.65 m²,3 pokoje  widok na park  pokój letni - ogródek,557 160 zł,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6Im5oamJncnM4aXR3dTEtQVBMIiwidyI6W3siZm4iOiJqMWozbzEzbTZiZ24xLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.wBmg0CjQgUrEpTCoPXNp5-7UWPWxwKClC67nYnRIY6Q/image;s=655x491;q=80,nowy
1,Mieszkanie na sprzeda,Wrocaw Fabryczna Stabowice,https://www.otodom.pl/oferta/nowe-gotowe-do-odbioru-2-pokojowe-bez-pcc-ID447L6.html#86a2cc4390,2 pokoje,None,47.50 m²,Nowe  gotowe do odbioru  2 pokojowe bez PCC.,329 000 zł,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6Imp3eDJkNm8zOTQyODMtQVBMIiwidyI6W3siZm4iOiJqMWozbzEzbTZiZ24xLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.fN6WjKNEgt82wGDV-VlCKMTA9XNwN8pGpZHDONPpcvE/image;s=655x491;q=80,nowy
2,Mieszkanie na sprzeda,Wrocaw Krzyki Ksie Mae,https://www.otodom.pl/oferta/3-gotowe-wykonczone-nowe-mieszkania-ID43Qxd.html#86a2cc4390,3 pokoje,None,64.74 m²,3 gotowe  wykończone  Nowe mieszkania.,532 234 zł,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6IjJvYzZlbG1nZ3dmNjEtQVBMIiwidyI6W3siZm4iOiJqMWozbzEzbTZiZ24xLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.BCnl_r1l2Vv-4_SfTrzr9Q7UKwcDO-iwTDtDLbdq7qA/image;s=655x491;q=80,nowy
3,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-i-01-ID44XHN.html#86a2cc4390,3 pokoje,None,66.64 m²,Stabłowicka 2 I/01,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6InlsMnF4dTIwNGtwYTEtQVBMIiwidyI6W3siZm4iOiJqMWozbzEzbTZiZ24xLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.ZgdEud-d34nlrXEdoMd7xdJ0sjKiMU8Ec70clPr9jjY/image;s=655x491;q=80,nowy
4,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-44-ID44XHK.html#86a2cc4390,3 pokoje,None,63.01 m²,Stabłowicka 2 H/44,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6InlrcnM4ZjNiM3RyMTMtQVBMIiwidyI6W3siZm4iOiJqMWozbzEzbTZiZ24xLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.fssiSa-WuePHI3IPVilNErEJMNSv-mCqV8lW7bklcXQ/image;s=655x491;q=80,nowy
5,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-43-ID44XHI.html#86a2cc4390,2 pokoje,None,31.47 m²,Stabłowicka 2 H/43,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6InZ0Y3loMmRnNW56bzItQVBMIiwidyI6W3siZm4iOiJqMWozbzEzbTZiZ24xLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.8LJ2czNk6CHjPF1rwbXmxtacV6NnnItDt3tORs68KW8/image;s=655x491;q=80,nowy
6,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-42-ID44XHw.html#86a2cc4390,2 pokoje,None,31.51 m²,Stabłowicka 2 H/42,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6InZsNzc2ZjgybGM3MS1BUEwiLCJ3IjpbeyJmbiI6ImoxajNvMTNtNmJnbjEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.d56UYfcAbx-rYghfzaS7pIGE0A8h5I2wV6ejCLfL2eg/image;s=655x491;q=80,nowy
7,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-34-ID44XHm.html#86a2cc4390,3 pokoje,None,63.01 m²,Stabłowicka 2 H/34,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6InltcWN3MDhhendlajMtQVBMIiwidyI6W3siZm4iOiJqMWozbzEzbTZiZ24xLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.D0L9gVQfFia0jr5OhRfH3pLgweZrMLu7utXZHKd1_Os/image;s=655x491;q=80,nowy
8,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-33-ID44XHh.html#86a2cc4390,2 pokoje,None,31.47 m²,Stabłowicka 2 H/33,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6IjYxdGU5emhxMW9jaDEtQVBMIiwidyI6W3siZm4iOiJqMWozbzEzbTZiZ24xLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0._AA_qKBUR8J3N7gNIZMKsSdii44v3FJbu2PlrwNhYKg/image;s=655x491;q=80,nowy
9,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-32-ID44XHd.html#86a2cc4390,2 pokoje,None,31.51 m²,Stabłowicka 2 H/32,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6IjhzN3V6aHBqc3R6ci1BUEwiLCJ3IjpbeyJmbiI6ImoxajNvMTNtNmJnbjEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.WVR8gDp3NcOfRIMti7c1_wvGzaygw0LKVkMFEzwmhPM/image;s=655x491;q=80,nowy
10,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-31-ID44XH2.html#86a2cc4390,4 pokoje,None,71.39 m²,Stabłowicka 2 H/31,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6IjJkN3RkMnVocGx1eC1BUEwiLCJ3IjpbeyJmbiI6ImoxajNvMTNtNmJnbjEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.0ht_qlIapF6QZrqJXAzmEYciJoQ0jZRS4qCcuan16qY/image;s=655x491;q=80,nowy
11,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-24-ID44XGW.html#86a2cc4390,3 pokoje,None,63.01 m²,Stabłowicka 2 H/24,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6ImozbmNoNWxjM2hyeTItQVBMIiwidyI6W3siZm4iOiJqMWozbzEzbTZiZ24xLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.lWrDOdz91AX1HB31k2A7UoM5AAewh3BOU6aida7JSo0/image;s=655x491;q=80,nowy
12,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-21-ID44XGS.html#86a2cc4390,4 pokoje,None,71.39 m²,Stabłowicka 2 H/21,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6ImU4OHVwbWdoZHZvZDMtQVBMIiwidyI6W3siZm4iOiJqMWozbzEzbTZiZ24xLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.T61bMjAhiRx1D4UM2-qB7LwGjkTAYX9S6aC7QoalGNc/image;s=655x491;q=80,nowy
13,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-14-ID44XGK.html#86a2cc4390,3 pokoje,None,63.01 m²,Stabłowicka 2 H/14,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6ImczeHMzaGZ0NmZyai1BUEwiLCJ3IjpbeyJmbiI6ImoxajNvMTNtNmJnbjEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.iVDI4IKZ36jsOQP5AVK9lLdJcefgqV-T9t9LqxtL1FY/image;s=655x491;q=80,nowy
14,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-11-ID44XGH.html#86a2cc4390,4 pokoje,None,71.39 m²,Stabłowicka 2 H/11,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6IjlpcTNuZDVncmN0Zi1BUEwiLCJ3IjpbeyJmbiI6ImoxajNvMTNtNmJnbjEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.RDvo627N861swpt7lepDm03zlbPQ8P8Y-amNltcK7y8/image;s=655x491;q=80,nowy
15,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-04-ID44XGC.html#86a2cc4390,3 pokoje,None,63.01 m²,Stabłowicka 2 H/04,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6Im5xbTZiMGhqcTRzODMtQVBMIiwidyI6W3siZm4iOiJqMWozbzEzbTZiZ24xLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.q_j93pa0-ZXwbPwYXyi6iSA_aY5YrB16gK29LZMcQkc/image;s=655x491;q=80,nowy
16,Mieszkanie na sprzeda,Wrocaw Fabryczna Pracze Odrzaskie,https://www.otodom.pl/oferta/stablowicka-2-h-02-ID44XGu.html#86a2cc4390,2 pokoje,None,31.51 m²,Stabłowicka 2 H/02,Zapytaj o cenę,https://apollo-ireland.akamaized.net/v1/files/eyJmbiI6Imt0bXhna2JzMTJlZTItQVBMIiwidyI6W3siZm4iOiJqMWozbzEzbTZiZ24xLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.gir9PhrrqmSDK7MKbUeJ2lF6lotwvlTwQd7ncsMIVts/image;s=655x491;q=80,nowy
